iter	Passed	Remaining
0	0	56
1	1	49
2	1	46
3	1	44
4	2	43
5	2	42
6	3	41
7	3	40
8	3	40
9	4	39
10	4	38
11	5	38
12	5	37
13	6	37
14	6	36
15	6	35
16	7	35
17	7	35
18	8	35
19	8	34
20	9	34
21	9	33
22	9	33
23	10	32
24	10	32
25	11	31
26	11	31
27	12	31
28	12	30
29	12	30
30	13	29
31	13	29
32	14	28
33	14	28
34	14	27
35	15	27
36	15	26
37	16	26
38	16	26
39	17	25
40	17	25
41	17	24
42	18	24
43	18	23
44	19	23
45	19	23
46	19	22
47	20	22
48	20	21
49	21	21
50	21	20
51	22	20
52	22	20
53	23	19
54	23	19
55	24	19
56	24	18
57	25	18
58	25	17
59	25	17
60	26	16
61	26	16
62	27	15
63	27	15
64	27	14
65	28	14
66	28	14
67	28	13
68	29	13
69	29	12
70	30	12
71	30	11
72	30	11
73	31	11
74	31	10
75	32	10
76	32	9
77	33	9
78	33	8
79	33	8
80	34	8
81	34	7
82	35	7
83	35	6
84	36	6
85	36	5
86	36	5
87	37	5
88	37	4
89	38	4
90	38	3
91	39	3
92	39	2
93	40	2
94	40	2
95	40	1
96	41	1
97	41	0
98	42	0
99	42	0
